Time,Tco,Tho
553.0,46.698396,70.860654
554.0,46.698421,70.836202
555.0,46.698445,70.811778
556.0,46.698468,70.787381
557.0,46.69849,70.763013
558.0,46.69851,70.738672
559.0,46.69853,70.714359
560.0,46.698549,70.690074
561.0,46.698566,70.665817
562.0,46.698581,70.641588
563.0,46.698595,70.617386
564.0,46.698607,70.593212
565.0,46.698617,70.569065
566.0,46.698625,70.544947
567.0,46.698631,70.520855
568.0,46.698635,70.496792
569.0,46.698636,70.472756
570.0,46.69864,70.448747
571.0,46.698652,70.424766
572.0,46.698663,70.400812
573.0,46.698673,70.376886
574.0,46.698682,70.352987
575.0,46.698691,70.329115
576.0,46.698699,70.305271
577.0,46.698707,70.281454
578.0,46.698713,70.257664
579.0,46.698719,70.233902
580.0,46.698724,70.210166
581.0,46.698728,70.186458
582.0,46.698732,70.162777
583.0,46.698735,70.139123
584.0,46.698737,70.115496
585.0,46.698739,70.091896
586.0,46.69874,70.068323
587.0,46.69874,70.044777
588.0,46.69874,70.021258
589.0,46.698739,69.997765
590.0,46.698738,69.9743
591.0,46.698736,69.950862
592.0,46.698734,69.92745
593.0,46.698731,69.904065
594.0,46.698728,69.880707
595.0,46.698724,69.857375
596.0,46.698721,69.834071
597.0,46.698717,69.810793
598.0,46.698712,69.787541
599.0,46.698708,69.764316
600.0,46.698701,69.741118
601.0,46.698693,69.717946
602.0,46.698684,69.694801
603.0,46.698675,69.671682
604.0,46.698666,69.64859
605.0,46.698657,69.625524
606.0,46.698647,69.602484
607.0,46.698637,69.579471
608.0,46.698627,69.556484
609.0,46.698617,69.533523
610.0,46.698607,69.510589
611.0,46.698597,69.487681
612.0,46.698587,69.464799
613.0,46.698577,69.441943
614.0,46.698567,69.419113
615.0,46.698557,69.39631
616.0,46.698548,69.373532
617.0,46.698539,69.350781
618.0,46.698531,69.328056
619.0,46.698524,69.305356
620.0,46.698517,69.282683
621.0,46.69851,69.260035
622.0,46.698505,69.237414
623.0,46.698501,69.214818
624.0,46.698497,69.192248
625.0,46.698495,69.169704
626.0,46.698494,69.147186
627.0,46.698494,69.124693
628.0,46.698495,69.102226
629.0,46.698493,69.079785
630.0,46.698487,69.05737
631.0,46.698481,69.03498
632.0,46.698475,69.012616
633.0,46.69847,68.990277
634.0,46.698465,68.967964
635.0,46.69846,68.945676
636.0,46.698456,68.923414
637.0,46.698451,68.901177
638.0,46.698448,68.878966
639.0,46.698444,68.85678
640.0,46.698441,68.83462
641.0,46.698439,68.812485
642.0,46.698436,68.790375
643.0,46.698435,68.76829
644.0,46.698433,68.746231
645.0,46.698432,68.724197
646.0,46.698431,68.702188
647.0,46.698431,68.680204
648.0,46.698431,68.658246
649.0,46.698432,68.636312
650.0,46.698433,68.614404
651.0,46.698435,68.59252
652.0,46.698437,68.570662
653.0,46.698439,68.548829
654.0,46.698442,68.527021
655.0,46.698445,68.505237
656.0,46.698448,68.483479
657.0,46.698452,68.461745
658.0,46.698457,68.440036
659.0,46.698461,68.418352
660.0,46.698466,68.396693
661.0,46.69847,68.375059
662.0,46.698475,68.353449
663.0,46.698481,68.331864
664.0,46.698486,68.310304
665.0,46.698492,68.288768
666.0,46.698498,68.267257
667.0,46.698504,68.245771
668.0,46.69851,68.224309
669.0,46.698517,68.202871
670.0,46.698523,68.181459
671.0,46.698529,68.16007
672.0,46.698536,68.138706
673.0,46.698542,68.117367
674.0,46.698548,68.096052
675.0,46.698554,68.074761
676.0,46.69856,68.053495
677.0,46.698565,68.032253
678.0,46.698571,68.011035
679.0,46.698576,67.989842
680.0,46.69858,67.968673
681.0,46.698584,67.947527
682.0,46.698588,67.926407
683.0,46.698591,67.90531
684.0,46.698594,67.884237
685.0,46.698596,67.863189
686.0,46.698597,67.842164
687.0,46.698597,67.821164
688.0,46.698605,67.800188
689.0,46.698616,67.779235
690.0,46.698628,67.758307
691.0,46.698641,67.737402
692.0,46.698653,67.716521
693.0,46.698667,67.695665
694.0,46.69868,67.674832
695.0,46.698694,67.654023
696.0,46.698708,67.633237
697.0,46.698723,67.612476
698.0,46.698738,67.591738
699.0,46.698753,67.571024
700.0,46.698769,67.550333
701.0,46.698785,67.529667
702.0,46.698801,67.509023
703.0,46.698817,67.488404
704.0,46.698833,67.467808
705.0,46.69885,67.447235
706.0,46.698866,67.426686
707.0,46.698883,67.406161
708.0,46.6989,67.385659
709.0,46.698916,67.36518
710.0,46.698932,67.344725
711.0,46.698949,67.324294
712.0,46.698965,67.303885
713.0,46.69898,67.2835
714.0,46.698996,67.263138
715.0,46.699011,67.2428
716.0,46.699025,67.222485
717.0,46.699039,67.202193
718.0,46.699053,67.181924
719.0,46.699065,67.161678
720.0,46.699077,67.141456
721.0,46.699089,67.121256
722.0,46.699099,67.10108
723.0,46.699108,67.080927
724.0,46.699116,67.060797
725.0,46.699123,67.040689
726.0,46.699128,67.020605
727.0,46.699132,67.000544
728.0,46.699135,66.980506
729.0,46.699136,66.96049
730.0,46.699135,66.940498
731.0,46.699133,66.920528
732.0,46.699128,66.900581
733.0,46.699122,66.880657
734.0,46.699113,66.860756
735.0,46.699101,66.840877
736.0,46.699088,66.821021
737.0,46.699079,66.801188
738.0,46.699097,66.781378
739.0,46.699114,66.76159
740.0,46.699131,66.741825
741.0,46.699149,66.722082
742.0,46.699167,66.702362
743.0,46.699185,66.682665
744.0,46.699203,66.66299
745.0,46.699222,66.643337
746.0,46.69924,66.623707
747.0,46.699258,66.6041
748.0,46.699276,66.584514
749.0,46.699295,66.564952
750.0,46.699313,66.545411
751.0,46.699331,66.525893
752.0,46.699349,66.506397
753.0,46.699367,66.486924
754.0,46.699384,66.467472
755.0,46.699401,66.448043
756.0,46.699418,66.428637
757.0,46.699435,66.409252
758.0,46.699451,66.389889
759.0,46.699466,66.370549
760.0,46.699481,66.351231
761.0,46.699496,66.331935
762.0,46.69951,66.312661
763.0,46.699523,66.293408
764.0,46.699535,66.274178
765.0,46.699546,66.25497
766.0,46.699557,66.235784
767.0,46.699566,66.21662
768.0,46.699574,66.197478
769.0,46.699581,66.178357
770.0,46.699587,66.159259
771.0,46.699592,66.140182
772.0,46.699595,66.121127
773.0,46.699597,66.102094
774.0,46.699597,66.083082
775.0,46.699595,66.064092
776.0,46.699592,66.045124
777.0,46.699587,66.026178
778.0,46.699579,66.007253
779.0,46.69957,65.98835
780.0,46.699559,65.969469
781.0,46.699545,65.950609
782.0,46.699528,65.931771
783.0,46.699509,65.912954
784.0,46.699488,65.894159
785.0,46.699464,65.875385
786.0,46.699436,65.856632
787.0,46.699434,65.837902
788.0,46.699439,65.819192
789.0,46.699444,65.800504
790.0,46.699449,65.781837
791.0,46.699453,65.763192
792.0,46.699458,65.744568
793.0,46.699462,65.725965
794.0,46.699466,65.707383
795.0,46.69947,65.688823
796.0,46.699474,65.670284
797.0,46.699477,65.651766
798.0,46.69948,65.633269
799.0,46.699483,65.614793
800.0,46.699486,65.596339
801.0,46.699488,65.577905
802.0,46.69949,65.559493
803.0,46.699492,65.541101
804.0,46.699493,65.522731
805.0,46.699494,65.504382
806.0,46.699495,65.486053
807.0,46.699495,65.467746
808.0,46.699495,65.449459
809.0,46.699494,65.431194
810.0,46.699493,65.412949
811.0,46.699491,65.394725
812.0,46.699489,65.376522
813.0,46.699486,65.35834
814.0,46.699483,65.340178
815.0,46.69948,65.322037
816.0,46.699475,65.303917
817.0,46.69947,65.285818
818.0,46.699465,65.267739
819.0,46.699459,65.249681
820.0,46.699452,65.231644
821.0,46.699444,65.213627
822.0,46.699436,65.195631
823.0,46.699426,65.177655
824.0,46.699417,65.1597
825.0,46.699406,65.141766
826.0,46.699394,65.123852
827.0,46.699382,65.105958
828.0,46.699368,65.088085
829.0,46.699354,65.070232
830.0,46.699338,65.0524
831.0,46.699322,65.034588
832.0,46.699304,65.016797
833.0,46.699286,64.999025
834.0,46.699266,64.981274
835.0,46.699245,64.963544
836.0,46.699227,64.945833
837.0,46.699217,64.928143
838.0,46.699207,64.910473
839.0,46.699198,64.892824
840.0,46.699188,64.875194
841.0,46.699178,64.857584
842.0,46.699167,64.839995
843.0,46.699157,64.822426
844.0,46.699147,64.804877
845.0,46.699136,64.787348
846.0,46.699126,64.769839
847.0,46.699115,64.752349
848.0,46.699104,64.73488
849.0,46.699093,64.717431
850.0,46.699083,64.700002
851.0,46.699072,64.682593
852.0,46.699061,64.665203
853.0,46.69905,64.647834
854.0,46.699039,64.630484
855.0,46.699028,64.613154
856.0,46.699017,64.595844
857.0,46.699006,64.578554
858.0,46.698995,64.561283
859.0,46.698984,64.544033
860.0,46.698973,64.526801
861.0,46.698962,64.50959
862.0,46.698951,64.492398
863.0,46.69894,64.475226
864.0,46.69893,64.458074
865.0,46.698919,64.440941
866.0,46.698909,64.423828
867.0,46.698899,64.406734
868.0,46.698888,64.38966
869.0,46.698878,64.372605
870.0,46.698868,64.35557
871.0,46.698859,64.338554
872.0,46.698849,64.321558
873.0,46.69884,64.304581
874.0,46.698831,64.287623
875.0,46.698822,64.270685
876.0,46.698813,64.253766
877.0,46.698805,64.236867
878.0,46.698797,64.219986
879.0,46.698789,64.203126
880.0,46.698781,64.186284
881.0,46.698774,64.169462
882.0,46.698767,64.152658
883.0,46.69876,64.135874
884.0,46.698754,64.11911
885.0,46.698748,64.102364
886.0,46.69874,64.085638
887.0,46.698731,64.06893
888.0,46.698723,64.052242
889.0,46.698714,64.035573
890.0,46.698706,64.018922
891.0,46.698698,64.002291
892.0,46.698689,63.985679
893.0,46.698682,63.969086
894.0,46.698674,63.952512
895.0,46.698666,63.935956
896.0,46.698659,63.91942
897.0,46.698651,63.902902
898.0,46.698644,63.886404
899.0,46.698637,63.869924
900.0,46.69863,63.853463
901.0,46.698624,63.837021
902.0,46.698617,63.820597
903.0,46.698611,63.804193
904.0,46.698605,63.787807
905.0,46.698599,63.77144
906.0,46.698594,63.755091
907.0,46.698588,63.738761
908.0,46.698583,63.72245
909.0,46.698578,63.706158
910.0,46.698573,63.689884
911.0,46.698569,63.673629
912.0,46.698565,63.657392
913.0,46.698561,63.641174
914.0,46.698557,63.624974
915.0,46.698553,63.608793
916.0,46.69855,63.59263
917.0,46.698547,63.576486
918.0,46.698544,63.56036
919.0,46.698541,63.544253
920.0,46.698539,63.528164
921.0,46.698537,63.512093
922.0,46.698535,63.496041
923.0,46.698533,63.480007
